City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hovd,48.0056,91.6419,56.93,51,46,3.49,MN,1662758054
1,atuona,-9.8,-139.0333,75.9,81,57,26.84,PF,1662758055
2,nikolskoye,59.7035,30.7861,45.88,78,10,4.25,RU,1662758055
3,juba,4.8517,31.5825,71.56,87,79,4.25,SS,1662758056
4,ushuaia,-54.8,-68.3,49.66,50,20,2.3,AR,1662757827
5,grand-santi,4.25,-54.3833,83.44,67,97,2.28,GF,1662758056
6,new norfolk,-42.7826,147.0587,53.1,88,100,2.75,AU,1662758057
7,ponta delgada,37.7333,-25.6667,76.5,83,20,12.66,PT,1662758057
8,albany,42.6001,-73.9662,82.58,55,0,1.95,US,1662758058
9,mataura,-46.1927,168.8643,42.48,88,9,1.5,NZ,1662758058
10,lavrentiya,65.5833,-171.0,47.73,64,75,6.71,RU,1662758059
11,dikson,73.5069,80.5464,37.15,74,100,6.13,RU,1662758059
12,springdale,36.1867,-94.1288,87.06,50,40,5.75,US,1662757815
13,jamestown,42.097,-79.2353,83.01,54,40,6.91,US,1662758060
14,airai,-8.9266,125.4092,56.41,74,3,2.64,TL,1662758061
15,bengkulu,-3.8004,102.2655,73.38,92,100,5.93,ID,1662758061
16,rosetta,31.4044,30.4164,77.59,72,0,9.71,EG,1662758062
17,ancud,-41.8697,-73.8203,52.23,86,59,7.52,CL,1662758062
18,port alfred,-33.5906,26.891,60.19,94,0,6.67,ZA,1662758062
19,busselton,-33.65,115.3333,50.59,91,2,7.07,AU,1662758063
20,nemuro,43.3236,145.575,63.05,83,42,16.35,JP,1662758063
21,codrington,-38.2667,141.9667,51.15,86,99,17.6,AU,1662758064
22,lebu,-37.6167,-73.65,49.87,74,0,19.91,CL,1662758064
23,jacmel,18.2342,-72.5347,91.24,71,88,8.86,HT,1662758065
24,qaanaaq,77.484,-69.3632,33.13,60,7,5.57,GL,1662758065
25,beringovskiy,63.05,179.3167,46.65,71,22,3.44,RU,1662758066
26,georgetown,5.4112,100.3354,80.53,85,20,2.3,MY,1662758048
27,punta arenas,-53.15,-70.9167,48.31,61,75,26.46,CL,1662757997
28,puerto santander,8.3636,-72.4063,94.41,48,75,5.41,CO,1662758067
29,barrow,71.2906,-156.7887,42.82,70,0,25.32,US,1662758067
30,marawi,7.9986,124.2928,66.76,88,100,4.03,PH,1662758068
31,yabrud,33.9674,36.6574,70.9,35,0,1.95,SY,1662758068
32,bluff,-46.6,168.3333,42.8,85,13,5.55,NZ,1662758068
33,lagos,6.5833,3.75,77.32,91,53,5.68,NG,1662757923
34,saint-francois,46.4154,3.9054,58.68,94,0,4.61,FR,1662757957
35,mezhdurechensk,53.6942,88.0603,40.15,85,45,3.49,RU,1662758069
36,rikitea,-23.1203,-134.9692,71.78,62,0,17.63,PF,1662758070
37,shilka,51.85,116.0333,58.51,69,84,1.72,RU,1662758070
38,ribeira grande,38.5167,-28.7,73.98,78,50,21.72,PT,1662758070
39,tuktoyaktuk,69.4541,-133.0374,46.4,81,100,16.11,CA,1662758071
40,san luis,-33.295,-66.3356,56.75,20,0,8.48,AR,1662757787
41,mahebourg,-20.4081,57.7,70.25,78,75,11.5,MU,1662758072
42,hilo,19.7297,-155.09,87.28,73,75,11.5,US,1662757975
43,pangnirtung,66.1451,-65.7125,60.8,51,100,11.5,CA,1662758072
